,book_id,Movie
386,37100,yes
387,1045908,yes
388,8835379,yes
389,1120825,yes
390,543339,yes
391,316845,yes
392,308251,yes
393,25437891,yes
394,15655,yes
395,166982,yes
396,31336,yes
397,439288,yes
398,136270,yes
399,24128,yes
400,13564820,yes
401,73968,yes
402,2255,yes
403,22749796,yes
404,327684,yes
405,29616,yes
406,17470674,yes
407,530965,yes
408,32423,yes
409,2702704,yes
410,19747756,yes
411,831890,yes
412,38980,yes
413,283786,yes
414,4667024,yes
415,47970,yes
416,13497,yes
417,288644,yes
418,17250,yes
419,2054,yes
420,372556,yes
421,108171,yes
422,472331,yes
423,19501,yes
424,3761,yes
425,18875096,yes
426,271199,yes
427,62111,yes
428,46170,yes
429,16299,yes
430,10180402,yes
431,13145,yes
432,188572,yes
433,5368029,yes
434,91714,yes
435,102458,yes
436,293101,yes
437,3590,yes
438,13344919,yes
439,732141,yes
440,356525,yes
441,396329,yes
442,217518,yes
443,187812,yes
444,42156,yes
445,21461674,yes
446,540020,yes
447,78950,yes
448,18692431,yes
449,764903,yes
450,49552,yes
451,140225,yes
452,6280118,yes
453,52635,yes
454,15756702,yes
455,25019,yes
456,13023,yes
457,16335,yes
458,480204,yes
459,67920,yes
460,509784,yes
461,5520004,yes
462,85211,yes
463,7733,yes
464,37435,yes
465,42933,yes
466,121622,yes
467,813214,yes
468,28186,yes
469,12296,yes
470,71332,yes
471,4673,yes
472,24263233,yes
473,15768536,yes
474,246938,yes
475,994663,yes
476,74952,yes
477,10423798,yes
478,179780,yes
479,9736930,yes
480,1258027,yes
481,31625825,yes
482,10916,yes
483,2839,yes
484,123586,yes
485,161846,yes
486,9151669,yes
487,5454,yes
488,381608,yes
489,459822,yes
490,34229254,yes
491,816870,yes
492,148337,yes
493,534004,yes
494,48855,yes
495,550720,yes
496,33507,yes
497,23617075,yes
498,149405,yes
499,52309,yes
500,581811,yes
501,411449,yes
502,20613470,yes
503,15712510,yes
504,7069,yes
505,14817,yes
506,1233204,yes
507,533779,yes
508,270521,yes
509,542389,yes
510,80536,yes
511,6050298,yes
512,1097,yes
513,11389,yes
514,6185,yes
515,902,yes
516,527744,yes
517,50051,yes
518,27621,yes
519,149621,yes
520,12770,yes
521,3238153,yes
522,8914,yes
523,32829,yes
524,138872,yes
525,16328,yes
526,6400090,yes
527,6689,yes
528,110737,yes
529,51737,yes
530,239239,yes
531,16342,yes
532,5797,yes
